species,hedges_g,sample_size_n,scr,original_response_variable,variable_type,source
Lepomis macrochirus,1.401,22,2,ejaculate volume (µl),production,Leach & Montgomerie (2000)
Lepomis macrochirus,3.650,114,2,gonad mass (g),production,Neff et al. (2003)
Lepomis macrochirus,-2.482,114,2,GSI,production,Neff et al. (2003)
Lepomis macrochirus,-3.855,98,2,sperm density (per mm3),production,Neff et al. (2003)
Lepomis macrochirus,1.886,17,2,sperm longevity (s),quality,Neff et al. (2003)
Lepomis macrochirus,-0.120,22,2,straightness after 5s,quality,Burness et al. (2004)
Lepomis macrochirus,-1.460,22,2,average path velocity (µm s-1) after 5s,quality,Burness et al. (2004)
Lepomis macrochirus,-0.483,22,2,motility (%) after 5s,quality,Burness et al. (2004)
Lepomis macrochirus,-1.364,22,2,sperm tail length (µm),quality,Burness et al. (2004)
Lepomis macrochirus,-1.023,22,2,ATP concentration,quality,Burness et al. (2004)
Lepomis macrochirus,54.723,25,2,sperm density (spermatozoa/µl milt),production,Burness et al. (2005)
Lepomis macrochirus,-0.160,25,2,sperm average swimming speed 10s postactivation,quality,Burness et al. (2005)
Lepomis macrochirus,0.396,25,2,percentage sperm showing motility 10s postactivation,quality,Burness et al. (2005)
Lepomis macrochirus,-0.642,25,2,ATP levels 10s postactivation,quality,Burness et al. (2005)
Neolamprologus modestus,-1.030,33,3,gonad mass (mg),production,Hellmann et al. (2015)
Neolamprologus modestus,-2.113,33,3,GSI (%),production,Hellmann et al. (2015)
Oncorhynchus masou,1.569,182,3,GSI (energy based),production,Koseki & Maekawa (2002)
Oncorhynchus masou,1.591,182,3,GSI,production,Koseki & Maekawa (2002)
Oncorhynchus masou,2.235,99,3,GSI (energy based),production,Koseki & Maekawa (2002)
Oncorhynchus masou,2.287,99,3,GSI,production,Koseki & Maekawa (2002)
Oncorhynchus nerka,-2.000,40,3,sperm concentration,production,Hoysak & Liley (2001)
Oncorhynchus nerka,-1.700,9,3,motility (ranked proportion),quality,Hoysak & Liley (2001)
Oncorhynchus nerka,0.511,9,3,duration of motility (s),quality,Hoysak & Liley (2001)
Oncorhynchus tshawytscha,1.672,54,3,gonad mass (g),production,Butts et al. (2012)
Oncorhynchus tshawytscha,-1.233,54,3,GSI,production,Butts et al. (2012)
Oncorhynchus tshawytscha,-0.858,54,3,average path velocity (µm s-1),quality,Butts et al. (2012)
Oncorhynchus tshawytscha,-0.857,54,3,straight line velocity (µm s-1),quality,Butts et al. (2012)
Oncorhynchus tshawytscha,-0.818,54,3,curvilinear velocity (µm s-1),quality,Butts et al. (2012)
Oncorhynchus tshawytscha,-0.260,54,3,motility (% after 5s activation),quality,Butts et al. (2012)
Oncorhynchus tshawytscha,-0.163,54,3,sperm density,production,Butts et al. (2012)
Oncorhynchus tshawytscha,1.798,64,3,testes mass (g),production,Flannery et al. (2013)
Oncorhynchus tshawytscha,-1.203,64,3,GSI (%),production,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.598,64,3,sperm velocity (µm/s) 5s postactivation,quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.353,64,3,sperm motility (%) 5s postactivation,quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.376,64,3,sperm longevity (s),quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.297,64,3,sperm density (sperm/mL),quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.251,30,3,sperm head length,quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.305,30,3,sperm head width,quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,0.561,30,3,flagellum length,quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,-0.275,36,3,ATP (nM ATP/109 sperm),quality,Flannery et al. (2013)
Oncorhynchus tshawytscha,0.345,10,3,sperm count (percent packed sperm),production,Young et al. (2013)
Oncorhynchus tshawytscha,-0.414,28,3,sperm velocity (µm/s),quality,Lehnert et al. (2017)
Oncorhynchus tshawytscha,0.086,28,3,sperm velocity (µm/s),quality,Lehnert et al. (2017)
Parablennius parvicornis,-1.543,20,4,GSI,production,Miranda et al. (2003)
Parablennius sanguinolentus parvicornis,-1.984,17,4,GSI (%),production,Oliveira et al. (2001)
Parablennius sanguinolentus parvicornis,0.487,15,4,TGI (%),quality,Oliveira et al. (2001)
Poecilia parae,-0.691,37,2,sperm count,production,Hurtado-Gonzales & Uy (2009)
Poecilia parae,-0.165,159,2,gonad mass (mg),production,Hurtado-Gonzales & Uy (2009)
Poecilia parae,-0.054,37,2,sperm head length (µm),quality,Hurtado-Gonzales & Uy (2009)
Poecilia parae,1.022,37,2,sperm midpiece length (µm),quality,Hurtado-Gonzales & Uy (2009)
Poecilia parae,-1.381,37,2,sperm flagellar length (µm),quality,Hurtado-Gonzales & Uy (2009)
Poecilia parae,-1.149,37,2,sperm total length (µm),quality,Hurtado-Gonzales & Uy (2009)
Poecilia reticulata,-0.172,39,2,stripped sperm,production,Pilastro & Bisazza (1999)
Poecilia reticulata,7.943,39,2,proportion of sperm delivered (in relation to sperm at rest),allocation,Pilastro & Bisazza (1999)
Porichthys notatus,0.357,35,3,absolute mass of testes,production,Fitzpatrick et al. (2016)
Porichthys notatus,1.000,35,3,absolute accessory gland mass,quality,Fitzpatrick et al. (2016)
Porichthys notatus,1.163,26,3,sperm head length (µm),quality,Fitzpatrick et al. (2016)
Porichthys notatus,-0.835,26,3,sperm midpiece length (µm),quality,Fitzpatrick et al. (2016)
Porichthys notatus,0.376,26,3,sperm flagella length (µm),quality,Fitzpatrick et al. (2016)
Porichthys notatus,-0.044,26,3,sperm swimming speed (µm/s) 10s postactivation,quality,Fitzpatrick et al. (2016)
Porichthys notatus,-1.423,35,3,accessory gland corrected for body mass,quality,Fitzpatrick et al. (2016)
Porichthys notatus,-0.787,35,3,testes corrected for body mass,production,Fitzpatrick et al. (2016)
Rhodeus amarus,0.356,26,2,VCL: curvilinear velocity (µm s-1),quality,Smith & Reichard (2013)
Rhodeus amarus,0.249,26,2,straight line velocity (µm s-1),quality,Smith & Reichard (2013)
Rhodeus amarus,0.413,26,2,linearity (%),quality,Smith & Reichard (2013)
Rhodeus amarus,-0.167,26,2,motility (%),quality,Smith & Reichard (2013)
Rhodeus sericeus,-0.075,80,2,number of ejaculations per spawning,allocation,Reichard et al. (2004)
Salaria pavo,-2.997,45,3,GSI,production,Saraiva et al. (2010)
Salaria pavo,-3.619,60,3,GSI,production,Saraiva et al. (2010)
Salaria pavo,4.163,59,3,Relative testicular gland area,production,Saraiva et al. (2010)
Salaria pavo,1.785,58,3,Relative testicular gland area,production,Saraiva et al. (2010)
Salaria pavo,0.000,57,3,testes weight (g),production,Fagundes et al. (2012)
Salaria pavo,0.364,57,3,testicular gland area (mm2),quality,Fagundes et al. (2012)
Salmo salar,-2.222,23,3,GSI,production,Gage et al. (1995)
Salmo salar,14.018,77,3,stripped sperm volume (ml),production,Gage et al. (1995)
Salmo salar,10.219,77,3,stripped sperm number,production,Gage et al. (1995)
Salmo salar,-48.947,77,3,relative sperm volume (ml kg- 1),production,Gage et al. (1995)
Salmo salar,-23.531,77,3,relative sperm number (kg-1),production,Gage et al. (1995)
Salmo salar,-1.855,23,3,motility (%) (4-6h after stripping),quality,Gage et al. (1995)
Salmo salar,-1.596,23,3,motility (%) (24-26h after stripping),quality,Gage et al. (1995)
Salmo salar,-1.438,23,3,duration of motiliy (s) (4-6h after stripping),quality,Gage et al. (1995)
Salmo salar,-2.005,23,3,duration of motiliy (s) (24-26h after stripping),quality,Gage et al. (1995)
Salmo salar,-0.298,10,3,sperm head length (µm),quality,Gage et al. (1995)
Salmo salar,-1.439,25,3,sperm flagellar length (µm),quality,Gage et al. (1995)
Salmo salar,2.425,23,3,gonad mass,production,Gage et al. (1995)
Salmo salar,-0.371,24,3,sperm total length (µm),quality,Gage et al. (1998)
Salmo salar,2.326,40,3,total gonad weight (g),production,Vladić & Järvi (2001)
Salmo salar,-3.038,40,3,GSI (%),production,Vladić & Järvi (2001)
Salmo salar,-1.952,40,3,spermatocrit,production,Vladić & Järvi (2001)
Salmo salar,-6.873,34,3,ATP (nmol ml-1),quality,Vladić & Järvi (2001)
Salmo salar,-0.526,34,3,ATP residual spermatocrit,quality,Vladić & Järvi (2001)
Salmo salar,1.034,29,3,longevity (s),quality,Vladić & Järvi (2001)
Salmo salar,-1.473,29,3,proportion of motile sperm after 10s,quality,Vladić & Järvi (2001)
Salmo salar,0.000,24,3,sperm velocity (mm s-1) after 10s,quality,Vladić & Järvi (2001)
Salmo salar,0.433,14,3,sperm flagellum length (µm),quality,Vladić et al. (2002)
Salmo salar,-0.242,14,3,sperm end piece length (µm),quality,Vladić et al. (2002)
Salmo salar,-0.375,14,3,sperm midpiece length (µm),quality,Vladić et al. (2002)
Salmo salar,-0.993,14,3,energy charge values,quality,Vladić et al. (2002)
Salmo salar,-2.242,14,3,spermatocrit,quality,Vladić et al. (2002)
Salmo salar,-0.354,14,3,sperm longevity (s),quality,Vladić et al. (2002)
Salmo salar,2.320,22,3,stripped sperm mass (g),production,Vladić et al. (2010)
Salmo salar,-1.798,22,3,spermatocrit,production,Vladić et al. (2010)
Salmo salar,-2.132,22,3,GSI,production,Vladić et al. (2010)
Salmo salar,-2.436,22,3,ATP (nmol ml-1),quality,Vladić et al. (2010)
Salvelinus alpinus,0.125,39,4,testis mass (g),production,Liljedal & Folstad (2003)
Salvelinus alpinus,0.297,40,4,milt mass (g),production,Liljedal & Folstad (2003)
Salvelinus alpinus,-1.133,40,4,sperm density (%),production,Liljedal & Folstad (2003)
Salvelinus alpinus,-0.387,40,4,sperm number,production,Liljedal & Folstad (2003)
Salvelinus alpinus,0.042,46,4,mean sperm velocity of the 10% fastest sperm (µm/s),quality,"(Serrano et al., 2006)"
Scartella cristata,-0.142,20,4,mass of testis (mg),production,Neat et al. (2003)
Scartella cristata,-4.053,20,4,adjusted IG,production,Neat et al. (2003)
Sufflogobius bibarbatus,-3.156,116,3,GSI,production,Seivåg et al. (2016)
Sufflogobius bibarbatus,2.887,116,3,SVSI,quality,Seivåg et al. (2016)
Sufflogobius bibarbatus,-17.716,116,3,testes mass,production,Seivåg et al. (2016)
Sufflogobius bibarbatus,78.624,116,3,seminal vesicle mass,quality,Seivåg et al. (2016)
Symphodus melops,-8.088,165,2,GSI,production,Uglem et al. (2000)
Symphodus melops,-4.979,138,2,GSI,production,Uglem et al. (2000)
Symphodus melops,-4.766,49,2,GSI,production,Uglem et al. (2001)
Symphodus melops,-0.483,49,2,spermatrocrit level,production,Uglem et al. (2001)
Symphodus melops,-0.478,44,2,proportion of motile sperm at 1 min,quality,Uglem et al. (2001)
Symphodus melops,-0.897,49,2,gonad wet weight (g),production,Uglem et al. (2001)
Symphodus melops,-1.147,40,2,gonad wet mass (g),production,Uglem et al. (2002)
Symphodus melops,-4.510,40,2,GSI,production,Uglem et al. (2002)
Symphodus melops,0.100,37,2,sperm motility,quality,Uglem et al. (2002)
Telmatochromis temporalis,-5.231,30,4,GSI,production,Katoh et al. (2005)
Telmatochromis temporalis,0.130,30,4,gonad mass (g),production,Katoh et al. (2005)
Telmatochromis vittatus,2.459,47,4,gonad mass (mg),production,Ota & Kohda (2006)
Telmatochromis vittatus,-1.094,47,4,GSI,production,Ota & Kohda (2006)
Telmatochromis vittatus,-0.547,18,4,sperm swimming speed (µm s- 1) after 0.5s,quality,Fitzpatrick et al. (2007)
Telmatochromis vittatus,0.138,18,4,median sperm length (µm),quality,Fitzpatrick et al. (2007)
Telmatochromis vittatus,0.096,18,4,sperm longevity (s),quality,Fitzpatrick et al. (2007)
Telmatochromis vittatus,2.338,22,4,gonad mass (g),production,Ota et al. (2010)
Telmatochromis vittatus,2.103,20,4,gonad mass (g),production,Ota et al. (2010)
Telmatochromis vittatus,-0.258,21,4,sperm flagellar length (µm),quality,Ota et al. (2010)
Telmatochromis vittatus,1.271,18,4,sperm flagellar length (µm),quality,Ota et al. (2010)
Telmatochromis vittatus,-0.320,22,4,sperm longevity (s),quality,Ota et al. (2010)
Telmatochromis vittatus,-1.712,20,4,sperm longevity (s),quality,Ota et al. (2010)
Thalassoma bifasciatum,-2.034,60,3,sperm per spawn,allocation,Warner et al. (1995)
Thalassoma bifasciatum,-1.063,76,3,sperm concentration in the (µl-1) milt of spawn males,production,Schärer & Robertson (1999)
Thalassoma bifasciatum,0.205,76,3,average volumes of individual sperm cells produced by spawn males (µm3),production,Schärer & Robertson (1999)
Xiphophorus nigrensis,1.773,37,2,gonad mass (g),production,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.328,38,2,average path velocity (µs-1),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.282,38,2,curvilinear velocity (µs-1),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.595,38,2,straight line velocity (µs-1),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,0.070,40,2,sperm head shape (µm),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.921,40,2,sperm midpiece length (µm),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.087,40,2,sperm tail length (µm),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.347,40,2,sperm total length (µm),quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.935,36,2,sperm viability,quality,Smith & Ryan (2010)
Xiphophorus nigrensis,-0.759,30,2,sperm longevity,quality,Smith & Ryan (2010)
Xiphophorus nigrensis,0.587,38,2,sperm count,production,Smith & Ryan (2010)
Zosterisessor ophiocephalus,0.284,36,4,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Zosterisessor ophiocephalus,0.085,36,4,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Zosterisessor ophiocephalus,0.418,36,4,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Zosterisessor ophiocephalus,0.531,36,4,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Zosterisessor ophiocephalus,-1.878,27,4,GSI,production,Scaggiante et al. (2006)
Zosterisessor ophiocephalus,2.708,27,4,SVSI,quality,Scaggiante et al. (2006)
Zosterisessor ophiocephalus,0.241,30,4,proportion of live sperm postactivation,quality,Locatello et al. (2007)
Zosterisessor ophiocephalus,0.000,28,4,average path velocity (µm s-1) postactivation,quality,Locatello et al. (2007)
Zosterisessor ophiocephalus,0.044,28,4,curvilinear velocity (µm s-1) postactivation,quality,Locatello et al. (2007)
Zosterisessor ophiocephalus,-0.130,28,4,straight line velocity (µm s-1) postactivation,quality,Locatello et al. (2007)
Zosterisessor ophiocephalus,0.000,22,4,ATP concentration,quality,Locatello et al. (2007)
Zosterisessor ophiocephalus,-0.086,126,4,gonad mass (g),production,Pujolar et al. (2012)
